1011,  2381,  completed,  eof,  2018-12-22 03:38:10,  2018-12-22 03:38:11,  1,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|mem:n_41.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.00659634300421.modelParams|spParams|synPermInactiveDec_0.0947737122431,  90,  10,  12,  41,  2,  0.00659634300421,  0.0947737122431,  0.023584631979,  0.0404622515959, 
1011,  2382,  completed,  eof,  2018-12-22 03:38:10,  2018-12-22 03:38:12,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|mem:n_27.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0993241147155,  90,  10,  12,  27,  1,  0.0001,  0.0993241147155,  0.0124771334389,  0.0214060118831, 
1011,  2383,  completed,  eof,  2018-12-22 03:38:11,  2018-12-22 03:38:13,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|mem:n_30.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00113241281912.modelParams|spParams|synPermInactiveDec_0.0956690051317,  90,  10,  12,  30,  1,  0.00113241281912,  0.0956690051317,  0.0124771334389,  0.0214060118831, 
1011,  2384,  completed,  eof,  2018-12-22 03:38:12,  2018-12-22 03:38:13,  1,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|mem:n_58.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0115725261353.modelParams|spParams|synPermInactiveDec_0.0900189128697,  90,  10,  12,  58,  1,  0.0115725261353,  0.0900189128697,  0.0158257733796,  0.0271510034481, 
1011,  2385,  completed,  eof,  2018-12-22 03:38:13,  2018-12-22 03:38:15,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|mem:n_22.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0989063927893,  90,  10,  12,  22,  1,  0.0001,  0.0989063927893,  0.0538803698601,  0.092438206511, 
1011,  2386,  completed,  eof,  2018-12-22 03:38:13,  2018-12-22 03:38:16,  3,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|mem:n_22.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  90,  10,  12,  22,  1,  0.0001,  0.1,  0.0538803698601,  0.092438206511, 
1011,  2387,  completed,  eof,  2018-12-22 03:38:15,  2018-12-22 03:38:18,  3,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|mem:n_32.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0967003758151,  90,  10,  12,  32,  1,  0.0001,  0.0967003758151,  0.0124771334389,  0.0214060118831, 
1011,  2388,  completed,  eof,  2018-12-22 03:38:16,  2018-12-22 03:38:18,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|mem:n_75.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00456739774143.modelParams|spParams|synPermInactiveDec_0.0875360420234,  90,  10,  12,  75,  1,  0.00456739774143,  0.0875360420234,  0.0124771334389,  0.0214060118831, 
1011,  2389,  completed,  eof,  2018-12-22 03:38:18,  2018-12-22 03:38:19,  1,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|mem:n_22.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0987919376683,  90,  10,  12,  22,  1,  0.0001,  0.0987919376683,  0.0538803698601,  0.092438206511, 
1011,  2390,  completed,  eof,  2018-12-22 03:38:18,  2018-12-22 03:38:19,  1,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|mem:n_38.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0957127720524,  90,  10,  12,  38,  1,  0.0001,  0.0957127720524,  0.0124771334389,  0.0214060118831, 


jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|mem:n,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=mem,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=mem, 
1012,  2391,  completed,  eof,  2018-12-22 03:39:16,  2018-12-22 03:39:20,  4,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|sensorParams|encoders|mem:n_272.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|spParams|synPermInactiveDec_0.05015,  90,  11,  14,  272,  3,  0.05005,  0.05015,  0.0302887533344,  0.0519639720914, 
1012,  2402,  completed,  eof,  2018-12-22 03:39:17,  2018-12-22 03:39:20,  3,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|mem:n_22.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  90,  9,  12,  22,  1,  0.0001,  0.1,  0.0538803698601,  0.092438206511, 
1012,  2403,  completed,  eof,  2018-12-22 03:39:20,  2018-12-22 03:39:23,  3,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|sensorParams|encoders|mem:n_521.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|spParams|synPermInactiveDec_0.0003,  90,  12,  16,  521,  5,  0.1,  0.0003,  0.0304932891837,  0.0523148777575, 
1012,  2414,  completed,  eof,  2018-12-22 03:39:20,  2018-12-22 03:39:22,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|mem:n_147.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|spParams|synPermInactiveDec_0.075075,  90,  10,  13,  147,  2,  0.025075,  0.075075,  0.0269272540583,  0.0461969188013, 
1012,  2415,  completed,  eof,  2018-12-22 03:39:22,  2018-12-22 03:39:24,  2,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|sensorParams|encoders|mem:n_396.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|spParams|synPermInactiveDec_0.025225,  90,  11,  15,  396,  4,  0.075025,  0.025225,  0.0313213518888,  0.0537355181788, 
1012,  2416,  completed,  eof,  2018-12-22 03:39:23,  2018-12-22 03:39:24,  1,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|mem:n_163.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0347673257778.modelParams|spParams|synPermInactiveDec_0.0801133922224,  90,  10,  13,  163,  2,  0.0347673257778,  0.0801133922224,  0.0271115841517,  0.0465131590811, 
