timestamp,disk
datetime,float
,
12/22/18 04:00,-1545451134.556
12/22/18 04:00,-1545451134.566
12/22/18 04:00,-1545451134.572
12/22/18 04:00,-1545451134.585
12/22/18 04:00,-1545451134.592
12/22/18 04:00,-1545451134.601
12/22/18 04:00,-1545451134.608
12/22/18 04:00,-1545451134.613
12/22/18 04:00,-1545451134.619
12/22/18 04:00,-1545451134.623
12/22/18 04:00,-1545451134.629
12/22/18 04:00,-1545451134.638
12/22/18 04:00,-1545451134.642
12/22/18 04:00,-1545451134.647
12/22/18 04:00,-1545451134.653
12/22/18 04:00,-1545451134.658
12/22/18 04:00,-1545451134.663
12/22/18 04:00,-1545451134.669
12/22/18 04:00,-1545451134.679
12/22/18 04:00,-1545451134.687
12/22/18 04:00,-1545451134.692
12/22/18 04:00,-1545451134.701
12/22/18 04:00,-1545451134.707
12/22/18 04:00,-1545451134.715
12/22/18 04:00,-1545451134.72
12/22/18 04:00,-1545451134.723
12/22/18 04:00,-1545451134.728
12/22/18 04:00,-1545451134.736
12/22/18 04:00,-1545451134.741
12/22/18 04:00,-1545451134.747
12/22/18 04:00,-1545451134.753
12/22/18 04:00,-1545451134.757
12/22/18 04:00,-1545451134.76
12/22/18 04:00,-1545451134.766
12/22/18 04:00,-1545451134.771
12/22/18 04:00,-1545451134.776
12/22/18 04:00,-1545451134.785
12/22/18 04:00,-1545451134.79
12/22/18 04:00,-1545451134.795
12/22/18 04:00,-1545451134.802
12/22/18 04:00,-1545451134.808
12/22/18 04:00,-1545451134.815
12/22/18 04:00,-1545451134.822
12/22/18 04:00,-1545451134.827
12/22/18 04:00,-1545451134.834
12/22/18 04:00,-1545451134.838
12/22/18 04:00,-1545451134.842
12/22/18 04:00,-1545451134.847
12/22/18 04:00,-1545451134.868
12/22/18 04:00,-1545451134.907
12/22/18 04:00,-1545451134.912
12/22/18 04:00,-1545451134.917
12/22/18 04:00,-1545451134.922
12/22/18 04:00,-1545451134.929
12/22/18 04:00,-1545451134.942
12/22/18 04:00,-1545451134.948
12/22/18 04:00,-1545451134.953
12/22/18 04:00,-1545451134.957
12/22/18 04:00,-1545451134.962
12/22/18 04:00,-1545451134.969
12/22/18 04:00,-1545451134.974
12/22/18 04:00,-1545451134.979
12/22/18 04:00,-1545451134.984
12/22/18 04:00,-1545451134.989
12/22/18 04:00,-1545451134.993
12/22/18 04:00,-1545451134.997
12/22/18 04:00,-1545451135.003
12/22/18 04:00,-1545451135.007
12/22/18 04:00,-1545451135.013
12/22/18 04:00,-1545451135.018
12/22/18 04:00,-1545451135.024
12/22/18 04:00,-1545451135.028
12/22/18 04:00,-1545451135.035
12/22/18 04:00,-1545451135.041
12/22/18 04:00,-1545451135.049
12/22/18 04:00,-1545451135.055
12/22/18 04:00,-1545451135.06
12/22/18 04:00,-1545451135.067
12/22/18 04:00,-1545451135.073
12/22/18 04:00,-1545451135.083
12/22/18 04:00,-1545451135.088
12/22/18 04:00,-1545451135.092
12/22/18 04:00,-1545451135.1
12/22/18 04:00,-1545451135.106
12/22/18 04:00,-1545451135.111
12/22/18 04:00,-1545451135.117
12/22/18 04:00,-1545451135.121
12/22/18 04:00,-1545451135.125
12/22/18 04:00,-1545451135.129
12/22/18 04:00,-1545451135.136
12/22/18 04:00,-1545451135.141
12/22/18 04:00,-1545451135.148
12/22/18 04:00,-1545451135.152
12/22/18 04:00,-1545451135.157
12/22/18 04:00,-1545451135.163
12/22/18 04:00,-1545451135.17
12/22/18 04:00,-1545451135.175
12/22/18 04:00,-1545451135.182
12/22/18 04:00,-1545451135.188
12/22/18 04:00,-1545451135.192
12/22/18 04:00,-1545451135.199
12/22/18 04:00,-1545451135.206
12/22/18 04:00,-1545451135.211
12/22/18 04:00,-1545451135.219
12/22/18 04:00,-1545451135.225
